name,J-cat Score,task,Sentence Length,Clause Length,Clauses per Sentence,CC Freq,SC Freq,CTTR
FFR39,141.0,m1,10.557051282051281,8.026709401709402,1.2898504273504274,0.19960079840319364,5.143186241858462,4.659411220150839
FFR39,141.0,e,11.059092809364548,7.911336399108138,1.413039994425864,0.32271097942523264,5.327977916687964,4.763191169594877
FFR45,137.0,m1,7.181818181818182,5.7727272727272725,1.0909090909090908,0.0,2.5316455696202533,4.136897877713796
FFR45,137.0,m2,8.90340909090909,6.698863636363637,1.1704545454545454,0.0,3.618763961280715,4.446040404283746
FFR45,137.0,m3,9.08375420875421,7.039983164983165,1.1877104377104377,0.0,2.8046661702655746,4.29343291685794
FFR45,137.0,e,9.201704545454545,6.849431818181818,1.2518939393939394,0.5813953488372093,2.6848949765363903,4.211315394805385
FFR53,161.0,m1,9.384615384615385,6.8076923076923075,1.3076923076923077,0.0,5.737704918032787,4.48129079765136
FFR53,161.0,m3,10.978021978021978,8.546703296703297,1.2967032967032968,0.5681818181818182,3.4370342771982116,4.501980483158907
FFR53,161.0,m2,12.271062271062272,9.539072039072039,1.293040293040293,0.6993006993006994,4.214433107875731,4.434295829021114
FFR53,161.0,e,14.010114885114884,9.988584332334332,1.4584165834165834,0.7017804890145316,4.5792645472188545,4.881448918206182
FFR54,146.0,e,11.793103448275861,8.224137931034482,1.4827586206896552,0.8771929824561403,3.8011695906432745,4.817730411281797
FFR54,146.0,m1,9.424329501915707,7.3759578544061295,1.2691570881226055,0.43859649122807015,3.8690887323295113,4.573587733367546
FFR54,146.0,m3,8.755108556832695,7.306194125159642,1.2072158365261814,0.29239766081871343,2.953924323425667,4.648059425436202
FFR54,146.0,m2,8.607998084291188,7.111590038314176,1.2109674329501916,0.3893662728249194,3.0657833786236717,4.71078944046874
FFR57,162.0,m1,8.529411764705882,6.617647058823529,1.2941176470588236,0.0,3.4482758620689653,4.345429624408806
FFR57,162.0,m2,9.61470588235294,6.533823529411764,1.3970588235294117,0.0,4.060586529165324,4.496906964088257
FFR57,162.0,e,10.18063725490196,6.623243464052288,1.4730392156862746,0.18416206261510126,3.25954387395552,4.434546081414379
FFR57,162.0,m3,9.460477941176471,6.329932598039216,1.4172794117647058,0.30935442367365473,3.81452091916527,4.467060746223058
FFR61,178.0,m1,9.75,6.597222222222222,1.375,0.0,4.273504273504273,5.454551929548086
FFR61,178.0,m3,9.833333333333332,6.902777777777778,1.3541666666666665,0.0,4.237592472886591,4.898758438673793
FFR61,178.0,m2,10.0,6.765432098765432,1.3842592592592593,0.0,4.975599282999663,5.011374311912078
FFR61,178.0,e,11.158333333333333,6.8768518518518515,1.504861111111111,0.2847380410022779,4.6998088016574915,5.05784280003
FFR62,251.0,e,31.923076923076923,14.11923076923077,2.3076923076923075,0.24096385542168677,5.0602409638554215,5.484260062554924
FFR62,251.0,m1,21.58653846153846,10.455448717948718,1.8205128205128203,0.4908522980812138,5.493083444890674,5.1764525090782
FFR62,251.0,m2,19.307692307692307,9.05363247863248,1.8386752136752136,0.32723486538747587,6.4869143869892625,5.12172603030604
FFR62,251.0,m3,17.00854700854701,8.443002136752137,1.6845619658119657,0.5201514237658816,6.513537438593596,4.916106031888127
FFR63,159.0,m3,8.5,5.708333333333333,1.25,0.0,5.88235294117647,4.41088226468823
FFR63,159.0,m2,9.375,6.75,1.25,0.40650406504065045,5.380200860832137,4.787626820250635
